TEC_N_Aver_pred;B1_N_Aver_pred;B1_Reconciled;B1_Delta;B2_N_Aver_pred;B2_Reconciled;B2_Delta;B3_N_Aver_pred;B3_Reconciled;B3_Delta;B4_N_Aver_pred;B4_Reconciled;B4_Delta;Sum_Check;Total_Error_Before;Total_Error_After
766.0875244140625;199.8371747220398;188.85037824079996;-10.98679648123985;0.0;0.0;0.0;214.2237091064453;203.23691262520546;-10.98679648123985;384.9870300292969;374.00023354805705;-10.986796481239821;766.0875244140625;32.960389443719464;0.0
576.2945556640625;0.0;0.0;0.0;0.0;0.0;0.0;210.77236938476562;205.34169006347656;-5.4306793212890625;376.383544921875;370.95286560058594;-5.4306793212890625;576.2945556640625;10.861358642578125;0.0
565.3286743164062;0.0;0.0;0.0;0.0;0.0;0.0;210.92251586914062;203.13612365722656;-7.7863922119140625;369.97894287109375;362.1925506591797;-7.7863922119140625;565.3286743164062;15.572784423828125;0.0
595.899658203125;0.0;0.0;0.0;0.0;0.0;0.0;211.97987365722656;210.47884368896484;-1.5010299682617188;386.9218444824219;385.42081451416016;-1.5010299682617188;595.899658203125;3.0020599365234375;0.0
597.3169555664062;0.0;0.0;0.0;0.0;0.0;0.0;211.9667205810547;210.80582427978516;-1.1608963012695312;387.6720275878906;386.5111312866211;-1.1608963012695312;597.3169555664062;2.3217926025390625;0.0
594.9935302734375;0.0;0.0;0.0;0.0;0.0;0.0;212.00462341308594;210.22660064697266;-1.7780227661132812;386.5449523925781;384.76692962646484;-1.7780227661132812;594.9935302734375;3.5560455322265625;0.0
596.2803344726562;0.0;0.0;0.0;0.0;0.0;0.0;211.99346923828125;210.55865478515625;-1.434814453125;387.156494140625;385.7216796875;-1.434814453125;596.2803344726562;2.86962890625;0.0
600.8672485351562;0.0;0.0;0.0;0.0;0.0;0.0;211.98367309570312;211.832275390625;-0.151397705078125;389.1863708496094;389.03497314453125;-0.151397705078125;600.8672485351562;0.30279541015625;0.0
605.6985473632812;0.0;0.0;0.0;0.0;0.0;0.0;212.17515563964844;213.2105941772461;1.0354385375976562;391.4525146484375;392.48795318603516;1.0354385375976562;605.6985473632812;-2.0708770751953125;0.0
609.63037109375;0.0;0.0;0.0;0.0;0.0;0.0;212.25938415527344;214.28044891357422;2.0210647583007812;393.328857421875;395.3499221801758;2.0210647583007812;609.63037109375;-4.0421295166015625;0.0
610.628662109375;0.0;0.0;0.0;0.0;0.0;0.0;212.2007293701172;214.54581451416016;2.3450851440429688;393.7377624511719;396.08284759521484;2.3450851440429688;610.628662109375;-4.6901702880859375;0.0
599.82666015625;0.0;0.0;0.0;0.0;0.0;0.0;212.00413513183594;211.56067657470703;-0.44345855712890625;388.7094421386719;388.26598358154297;-0.44345855712890625;599.82666015625;0.8869171142578125;0.0
597.28955078125;0.0;0.0;0.0;0.0;0.0;0.0;211.97190856933594;210.82799530029297;-1.1439132690429688;387.60546875;386.46155548095703;-1.1439132690429688;597.28955078125;2.2878265380859375;0.0
606.3465576171875;0.0;0.0;0.0;0.0;0.0;0.0;212.1624298095703;213.34954071044922;1.1871109008789062;391.8099060058594;392.9970169067383;1.1871109008789062;606.3465576171875;-2.3742218017578125;0.0
584.9362182617188;0.0;0.0;0.0;0.0;0.0;0.0;209.18780517578125;202.383056640625;-6.80474853515625;389.35791015625;382.55316162109375;-6.80474853515625;584.9362182617188;13.6094970703125;0.0
572.5661010742188;0.0;0.0;0.0;0.0;0.0;0.0;209.04705810546875;198.9892120361328;-10.057846069335938;383.6347351074219;373.57688903808594;-10.057846069335938;572.5661010742188;20.115692138671875;0.0
570.7161865234375;0.0;0.0;0.0;0.0;0.0;0.0;209.07615661621094;198.51782989501953;-10.558326721191406;382.7566833496094;372.19835662841797;-10.558326721191406;570.7161865234375;21.116653442382812;0.0
575.5247802734375;0.0;0.0;0.0;0.0;0.0;0.0;209.04757690429688;199.80032348632812;-9.24725341796875;384.9717102050781;375.7244567871094;-9.24725341796875;575.5247802734375;18.4945068359375;0.0
586.3088989257812;0.0;0.0;0.0;0.0;0.0;0.0;209.20236206054688;202.7596893310547;-6.4426727294921875;389.99188232421875;383.54920959472656;-6.4426727294921875;586.3088989257812;12.885345458984375;0.0
580.4613647460938;0.0;0.0;0.0;0.0;0.0;0.0;209.05563354492188;201.12835693359375;-7.927276611328125;387.2602844238281;379.3330078125;-7.927276611328125;580.4613647460938;15.85455322265625;0.0
588.7701416015625;0.0;0.0;0.0;0.0;0.0;0.0;209.29779052734375;203.47315979003906;-5.8246307373046875;391.1216125488281;385.29698181152344;-5.8246307373046875;588.7701416015625;11.649261474609375;0.0
585.772216796875;0.0;0.0;0.0;0.0;0.0;0.0;209.1771240234375;202.6284637451172;-6.5486602783203125;389.6924133300781;383.1437530517578;-6.5486602783203125;585.772216796875;13.097320556640625;0.0
577.60546875;0.0;0.0;0.0;0.0;0.0;0.0;209.0994415283203;200.3282241821289;-8.771217346191406;386.0484619140625;377.2772445678711;-8.771217346191406;577.60546875;17.542434692382812;0.0
580.0761108398438;0.0;0.0;0.0;0.0;0.0;0.0;209.06756591796875;201.0338897705078;-8.033676147460938;387.0758972167969;379.04222106933594;-8.033676147460938;580.0761108398438;16.067352294921875;0.0
583.32470703125;0.0;0.0;0.0;0.0;0.0;0.0;209.16123962402344;201.97429656982422;-7.186943054199219;388.537353515625;381.3504104614258;-7.186943054199219;583.32470703125;14.373886108398438;0.0
571.0245361328125;0.0;0.0;0.0;0.0;0.0;0.0;209.06723022460938;198.5976104736328;-10.469619750976562;382.89654541015625;372.4269256591797;-10.469619750976562;571.0245361328125;20.939239501953125;0.0
567.9938354492188;0.0;0.0;0.0;0.0;0.0;0.0;208.92669677734375;197.73541259765625;-11.1912841796875;381.44970703125;370.2584228515625;-11.1912841796875;567.9938354492188;22.382568359375;0.0
574.0773315429688;0.0;0.0;0.0;0.0;0.0;0.0;209.09225463867188;199.4449920654297;-9.647262573242188;384.27960205078125;374.63233947753906;-9.647262573242188;574.0773315429688;19.294525146484375;0.0
565.7882080078125;0.0;0.0;0.0;0.0;0.0;0.0;208.83583068847656;197.16985321044922;-11.665977478027344;380.2843322753906;368.6183547973633;-11.665977478027344;565.7882080078125;23.331954956054688;0.0
558.126708984375;0.0;0.0;0.0;0.0;0.0;0.0;207.712158203125;195.03683471679688;-12.675323486328125;375.76519775390625;363.0898742675781;-12.675323486328125;558.126708984375;25.35064697265625;0.0
567.2880249023438;0.0;0.0;0.0;0.0;0.0;0.0;208.9407958984375;197.55877685546875;-11.38201904296875;381.11126708984375;369.729248046875;-11.38201904296875;567.2880249023438;22.7640380859375;0.0
557.4949951171875;0.0;0.0;0.0;0.0;0.0;0.0;207.72520446777344;194.9037857055664;-12.821418762207031;375.4126281738281;362.5912094116211;-12.821418762207031;557.4949951171875;25.642837524414062;0.0
558.9749145507812;0.0;0.0;0.0;0.0;0.0;0.0;207.8760986328125;195.26028442382812;-12.615814208984375;376.3304443359375;363.7146301269531;-12.615814208984375;558.9749145507812;25.23162841796875;0.0
560.1256713867188;0.0;0.0;0.0;0.0;0.0;0.0;207.89669799804688;195.54124450683594;-12.355453491210938;376.93988037109375;364.5844268798828;-12.355453491210938;560.1256713867188;24.710906982421875;0.0
567.7200317382812;0.0;0.0;0.0;0.0;0.0;0.0;208.93528747558594;197.67147064208984;-11.263816833496094;381.3123779296875;370.0485610961914;-11.263816833496094;567.7200317382812;22.527633666992188;0.0
561.5400390625;0.0;0.0;0.0;0.0;0.0;0.0;207.85902404785156;195.76239776611328;-12.096626281738281;377.874267578125;365.7776412963867;-12.096626281738281;561.5400390625;24.193252563476562;0.0
378.7740783691406;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;363.9528503417969;378.7740783691406;14.82122802734375;378.7740783691406;-14.82122802734375;0.0
387.8094787597656;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;370.14154052734375;387.8094787597656;17.667938232421875;387.8094787597656;-17.667938232421875;0.0
387.59600830078125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;369.9647216796875;387.59600830078125;17.63128662109375;387.59600830078125;-17.63128662109375;0.0
393.0860290527344;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;373.70294189453125;393.0860290527344;19.383087158203125;393.0860290527344;-19.383087158203125;0.0
381.0574645996094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;365.5486145019531;381.0574645996094;15.50885009765625;381.0574645996094;-15.50885009765625;0.0
376.3334655761719;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;362.3917236328125;376.3334655761719;13.941741943359375;376.3334655761719;-13.941741943359375;0.0
369.7703552246094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;357.9454040527344;369.7703552246094;11.824951171875;369.7703552246094;-11.824951171875;0.0
378.7740783691406;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;363.9759826660156;378.7740783691406;14.798095703125;378.7740783691406;-14.798095703125;0.0
382.7394714355469;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;366.777587890625;382.7394714355469;15.961883544921875;382.7394714355469;-15.961883544921875;0.0
372.2718200683594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;368.1644592285156;372.2718200683594;4.10736083984375;372.2718200683594;-4.10736083984375;0.0
365.8767395019531;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;363.72198486328125;365.8767395019531;2.154754638671875;365.8767395019531;-2.154754638671875;0.0
366.8878173828125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;364.4200744628906;366.8878173828125;2.467742919921875;366.8878173828125;-2.467742919921875;0.0
366.2869567871094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;364.0063171386719;366.2869567871094;2.2806396484375;366.2869567871094;-2.2806396484375;0.0
360.89019775390625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;360.3280944824219;360.89019775390625;0.562103271484375;360.89019775390625;-0.562103271484375;0.0
363.1986999511719;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;361.9309387207031;363.1986999511719;1.26776123046875;363.1986999511719;-1.26776123046875;0.0
360.4129943847656;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;360.0388488769531;360.4129943847656;0.3741455078125;360.4129943847656;-0.3741455078125;0.0
363.8583679199219;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;362.3258056640625;363.8583679199219;1.532562255859375;363.8583679199219;-1.532562255859375;0.0
374.7024841308594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;369.8434753417969;374.7024841308594;4.8590087890625;374.7024841308594;-4.8590087890625;0.0
368.8622741699219;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;365.8125915527344;368.8622741699219;3.0496826171875;368.8622741699219;-3.0496826171875;0.0
367.2185363769531;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;364.6986389160156;367.2185363769531;2.5198974609375;367.2185363769531;-2.5198974609375;0.0
363.117431640625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;361.90185546875;363.117431640625;1.215576171875;363.117431640625;-1.215576171875;0.0
362.2337646484375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;361.259033203125;362.2337646484375;0.9747314453125;362.2337646484375;-0.9747314453125;0.0
362.0108642578125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;361.17352294921875;362.0108642578125;0.83734130859375;362.0108642578125;-0.83734130859375;0.0
358.98382568359375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;359.0783996582031;358.98382568359375;-0.094573974609375;358.98382568359375;0.094573974609375;0.0
354.8492431640625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;356.16082763671875;354.8492431640625;-1.31158447265625;354.8492431640625;1.31158447265625;0.0
